AL_DE	Dothan Eagle	Dothan, Ala. USA
VA_CSE	Culpeper Star-Exponent	Culpeper, Va. USA
VA_DRB	Danville Register & Bee	Danville, Va. USA
VA_FLS	The Free Lance-Star	Fredericksburg, Va. USA
VA_NA	The News & Advance	Lynchburg, Va. USA
VA_RTD	Richmond Times-Dispatch	Richmond, Va. USA
VA_TRT	The Roanoke Times	Roanoke, Va. USA
VA_NL	The News Leader	Staunton, Va. USA
VA_NV	The News Virginian	Waynesboro, Va. USA
WA_BH	Bellingham Herald	Bellingham, Wash. USA
WA_TCH	Tri-City Herald	Kennewick, Wash. USA
WA_TO	The Olympian	Olympia, Wash. USA
WA_ST	The Seattle Times	Seattle, Wash. USA
WA_SR	The Spokesman-Review	Spokane, Wash. USA
WA_NT	The News Tribune	Tacoma, Wash. USA
WV_PNS	Parkersburg News and Sentinel	Parkersburg, W. Va. USA
WI_PC	The Post-Crescent	Appleton, Wis. USA
WI_BNR	Baraboo News Republic	Baraboo, Wis. USA
WI_BDDC	Beaver Dam Daily Citizen	Beaver Dam, Wis. USA
WI_TR	The Reporter	Fond du Lac, Wis. USA
WI_GBP	Green Bay Press-Gazette	Green Bay, Wis. USA
WI_WSJ	Wisconsin State Journal	Madison, Wis. USA
WI_HTR	Herald Times Reporter	Manitowoc, Wis. USA
WI_MNH	Marshfield News-Herald	Marshfield, Wis. USA
WI_MJS	Milwaukee Journal Sentinel	Milwaukee, Wis. USA
WI_PDR	Portage Daily Register	Portage, Wis. USA
WI_SP	The Sheboygan Press	Sheboygan, Wis. USA
WI_SPJ	Stevens Point Journal	Stevens Point, Wis. USA
WI_WDH	The Wausau Daily Herald	Wausau, Wis. USA
WI_DT	Daily Tribune	Wisconsin Rapids, Wis. USA
ARG_CLA	Clarin	Buenos Aires, Argentina
ARG_ET	El Territorio	Posadas, Argentina
AUT_KUR	Kurier	Vienna, Austria
AUT_NVT	Neue Vorarlberger Tageszeitung	Vorarlberg, Austria
BRA_CB	Correio Braziliense	Brasilia, Brazil
BRA^PE_JDC	Jornal do Commercio	Recife, Brazil
BRA_ATARDE	A Tarde	Salvador da Bahia, Brazil
BRA_OE	O Estado de S. Paulo	São Paulo, Brazil
BRA_FDSP	Folha de S. Paulo	São Paulo, Brazil
BRA^ES_AT	A Tribuna	Vitória, Brazil
CAN_CS	The Calgary Sun	Calgary, Canada
CAN_ES	Edmonton Sun	Edmonton, Canada
CAN_OS	The Ottawa Sun	Ottawa, Canada
CAN_TS	Toronto Star	Toronto, Canada
CAN_TSUN	Toronto Sun	Toronto, Canada
CAN_TP	The Province	Vancouver, Canada
CHIL_LUN	Las Ultimas Noticias	Santiago, Chile
CHIL_EM	El Mercurio	Santiago, Chile
COL_VL	Vanguardia Liberal	Bucaramanga, Colombia
COL_EU	El Universal	Cartagena, Colombia
FIJI_FT	The Fiji Times	Suva, Fiji
GER_FAZ	Frankfurter Allgemeine Zeitung	Frankfurt, Germany
GREE_TAX	Taxydromos	Volos, Greece
IND_NIE	New Indian Express	Chennai, India
IND_PRAHM	Prahaar - Mumbai	Mumbai, India
IND_SS	The Sunday Standard	New Delhi, India
IND_PRAHR	Prahaar - Ratnagiri	Ratnagiri, India
IND_PRAHS	Prahaar - Sindhudurg	Sindhudurg, India
ISR_JP	The Jerusalem Post	Jerusalem, Israel
ISR_YA	Yedioth Ahronoth	RISHON LETZION, Israel
ISR_HA	Haaretz - English Edition	Tel Aviv, Israel
ISR_HAHE	Haaretz - Hebrew Edition	Tel Aviv, Israel
ITA_LS	La Stampa	Torino, Italy
JAM_TG	The Gleaner	Kingston, Jamaica
KOS_KD	Koha Ditore	Prishtina, Kosovo
KUW_KT	Kuwait Times	Kuwait, Kuwait
MAL_STAR	Star	Kuala Lumpur, Malaysia
MEX_INF	El Informador	Guadalajara, Mexico
MEX_EU	El Universal	Mexico City, Mexico
MEX_VAN	Vanguardia	Saltillo, Mexico
PAK_DAWN	Dawn	Karachi, Pakistan
PAN_ES	El Siglo 	Panama City, Panama
PAN_LEP	La Estrella de Panama	Panama City, Panama
QATAR_TS	The Peninsula	Doha, Qatar
SAU_MNP	Makkah News Paper	Makkah, Saudi Arabia
SPA_ARA	ARA	Barcelona, Spain
SPA_LV	La Vanguardia	Barcelona, Spain
SPA_SEGRE	Segre	Lleida, Spain
SWE_GT	Göteborgstidningen	Göteborg, Sweden
SWE_KV	Kvällsposten	Malmö, Sweden
SWE_DN	Dagens Nyheter	Stockholm, Sweden
SWE_EX	Expressen	Stockholm, Sweden
TAIW_TMT	The Merit Times	Taipei, Taiwan
TUR_FOTO	Fotomac	Istanbul, Turkey
TUR_TAK	Takvim	Istanbul, Turkey
TUR_SAB	Sabah	Istanbul, Turkey
TUR_YEN	Yeniasir	Izmir, Turkey
UK_MAIL	Daily Mail	London, UK
